gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group B,some high school,standard,none,71,59,54
female,group B,some high school,free/reduced,none,40,51,49
male,group B,associate's degree,standard,none,87,73,75
male,group C,some high school,standard,none,69,53,55
female,group C,high school,standard,none,74,79,72
male,group D,master's degree,standard,none,95,80,82
male,group D,associate's degree,standard,completed,94,91,84
male,group B,some college,standard,none,63,59,59
male,group E,bachelor's degree,standard,completed,89,84,87
female,group E,some college,standard,completed,82,87,84
male,group C,associate's degree,free/reduced,completed,84,82,86
male,group D,high school,standard,none,59,51,44
male,group E,bachelor's degree,free/reduced,completed,83,79,77
male,group D,some high school,standard,completed,100,92,94
male,group B,master's degree,free/reduced,none,54,54,51
female,group D,associate's degree,free/reduced,completed,63,76,87
female,group C,some high school,standard,none,59,69,61
male,group D,associate's degree,standard,none,62,58,57
female,group C,some college,standard,none,67,80,74
male,group B,master's degree,standard,none,70,52,51
female,group E,some high school,standard,none,85,96,91
female,group E,high school,standard,none,70,75,69
male,group E,some college,standard,none,76,81,74
female,group D,some high school,standard,none,76,86,83
female,group A,high school,standard,none,69,80,73
female,group C,some high school,standard,none,56,72,64
female,group E,bachelor's degree,free/reduced,none,56,65,61
male,group D,some high school,standard,none,73,69,68
male,group D,bachelor's degree,standard,completed,66,62,63
male,group C,bachelor's degree,standard,completed,72,67,74
female,group D,master's degree,standard,none,67,81,78
female,group B,master's degree,standard,none,61,71,73
female,group C,some college,standard,completed,55,56,64
female,group C,bachelor's degree,free/reduced,none,61,63,66
male,group E,high school,standard,completed,100,97,92
female,group B,some college,free/reduced,completed,64,84,79
male,group D,some high school,standard,none,83,83,80
male,group E,some high school,standard,completed,74,54,60
female,group D,bachelor's degree,standard,none,81,77,76
female,group D,associate's degree,standard,none,60,65,67
male,group C,bachelor's degree,standard,none,55,58,47
male,group D,associate's degree,standard,none,73,74,73
male,group B,some high school,standard,none,90,80,81
male,group D,some high school,standard,completed,62,52,61
male,group C,some college,standard,none,77,75,71
male,group B,some high school,free/reduced,none,52,51,49
male,group C,high school,standard,completed,56,52,46
female,group D,bachelor's degree,free/reduced,completed,68,90,89
male,group C,some college,standard,none,69,75,69
female,group C,some high school,free/reduced,none,54,72,63
female,group D,high school,standard,none,88,93,94
male,group C,bachelor's degree,free/reduced,none,36,36,32
female,group E,high school,standard,none,65,73,66
female,group D,some high school,free/reduced,none,72,85,82
male,group B,some college,free/reduced,none,57,60,56
male,group C,some college,standard,none,79,82,78
male,group E,master's degree,free/reduced,none,74,70,61
male,group C,some high school,standard,completed,69,63,67
male,group E,associate's degree,free/reduced,none,49,50,44
female,group B,some high school,free/reduced,completed,60,88,81
female,group C,some high school,standard,none,62,75,71
female,group B,some high school,standard,none,50,53,53
male,group D,master's degree,standard,none,84,82,77
female,group D,bachelor's degree,standard,none,53,73,75
male,group D,bachelor's degree,standard,none,100,94,93
male,group D,some college,standard,completed,70,68,71
male,group B,high school,standard,none,59,65,61
female,group D,high school,free/reduced,completed,64,75,79
female,group E,high school,standard,none,83,82,78
male,group B,some high school,standard,completed,71,75,75
female,group C,some college,free/reduced,none,40,55,49
female,group E,high school,free/reduced,none,51,69,63
male,group E,high school,standard,none,100,88,78
male,group B,some college,free/reduced,none,65,70,65
female,group B,some college,standard,none,46,56,47
male,group C,associate's degree,standard,none,91,88,88
female,group C,some high school,standard,completed,71,75,83
male,group D,some college,standard,none,81,61,59
male,group D,bachelor's degree,standard,none,80,77,76
female,group E,associate's degree,standard,none,66,77,73
male,group D,high school,free/reduced,none,71,65,64
female,group C,associate's degree,standard,completed,62,81,78
female,group C,associate's degree,free/reduced,completed,39,62,57
male,group C,some high school,standard,none,60,51,46
male,group C,some college,standard,completed,78,83,77
female,group A,master's degree,free/reduced,completed,45,63,66
male,group E,high school,free/reduced,none,53,47,50
male,group E,associate's degree,free/reduced,none,89,85,82
male,group E,some college,standard,none,49,42,36
female,group D,associate's degree,standard,none,95,100,98
female,group E,associate's degree,standard,none,74,85,85
female,group E,some high school,free/reduced,none,65,71,67
male,group D,some college,standard,none,89,78,76
female,group B,associate's degree,standard,completed,83,99,100
female,group A,bachelor's degree,standard,none,56,54,56
female,group C,associate's degree,free/reduced,completed,70,89,88
male,group D,some high school,standard,none,52,45,46
female,group B,high school,standard,none,72,70,74
female,group D,master's degree,standard,none,59,79,80
male,group E,some high school,free/reduced,completed,76,81,76
male,group C,associate's degree,standard,none,83,74,71
female,group D,some college,standard,none,67,73,76
male,group D,some college,free/reduced,none,79,75,71
male,group D,some high school,standard,none,82,83,86
female,group C,master's degree,free/reduced,completed,34,45,38
male,group B,some college,standard,none,60,54,62
male,group B,associate's degree,standard,completed,42,50,48
female,group C,associate's degree,standard,none,84,80,81
male,group A,some college,standard,none,78,76,78
male,group B,associate's degree,free/reduced,none,67,66,60
